fold,state,target,n,MAE,RMSE,bias
2024/2025,Niger,cases,52,12381.848641722501,28576.27203210826,-8541.9092224729
2024/2025,Niger,hospitalizations,52,176.6488881317253,392.1388653674579,-88.97784139404588
2024/2025,Niger,deaths,52,14.458802435574794,30.49221390012412,-9.64215459779435
2024/2025,Benue,cases,52,11215.605595095973,22924.661095783293,-6177.936852815192
2024/2025,Benue,hospitalizations,52,188.90678166837597,421.369660824517,-90.35238806204838
2024/2025,Benue,deaths,52,16.171759367457692,32.62872146278542,-8.055894790395056
2024/2025,Borno,cases,52,12098.63734988839,24634.02986817909,-6608.510592217688
2024/2025,Borno,hospitalizations,52,109.26727426769017,246.61893551837596,-61.96652576720472
2024/2025,Borno,deaths,52,21.13880786183847,46.11775480054043,-13.045231806973977
2024/2025,Ogun,cases,52,15360.762653864791,40675.45981093874,-9560.415845961285
2024/2025,Ogun,hospitalizations,52,164.19075419832078,380.96245613065605,-93.66900220633563
2024/2025,Ogun,deaths,52,11.26102517018821,24.657211123121748,-5.248851179359887
2024/2025,Sokoto,cases,52,11921.105081153677,25877.171235241083,-6004.832986915118
2024/2025,Sokoto,hospitalizations,52,133.70704538872408,301.54049887454437,-83.95161183772326
2024/2025,Sokoto,deaths,52,20.581209798347132,52.14524832809348,-13.271478659963975
2024/2025,Delta,cases,52,13981.890935578309,35529.65136480707,-7313.3399959177805
2024/2025,Delta,hospitalizations,52,195.9682021459792,401.3724031425031,-53.50432679328647
2024/2025,Delta,deaths,52,7.949775252894467,18.204422723886005,-3.814635542162745
2024/2025,Imo,cases,52,14670.160460871159,36306.25056631085,-6891.364828736147
2024/2025,Imo,hospitalizations,52,186.64608224512756,427.6513850212856,-101.85525960267675
2024/2025,Imo,deaths,52,10.717562463453298,25.329805432057952,-5.053626266323361
2024/2025,Kebbi,cases,52,12125.454615133298,26864.619349000375,-6898.32921952484
2024/2025,Kebbi,hospitalizations,52,152.85987776056427,330.3086512092853,-105.52248238332314
2024/2025,Kebbi,deaths,52,31.07042930426189,68.8698138408523,-22.4075897053648
